id,price,levy,manufacturer,model,prod_year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo
45654403,13328,1399.0,lexus,rx 450,2010,jeep,yes,hybrid,3.5,186005,6,automatic,4x4,04-may,left wheel,silver,12,False
44731507,16621,1018.0,chevrolet,equinox,2011,jeep,no,petrol,3.0,192000,6,tiptronic,4x4,04-may,left wheel,black,8,False
45774419,8467,0.0,honda,fit,2006,hatchback,no,petrol,1.3,200000,4,variator,front,04-may,right-hand drive,black,2,False
45769185,3607,862.0,ford,escape,2011,jeep,yes,hybrid,2.5,168966,4,automatic,4x4,04-may,left wheel,white,0,False
45809263,11726,446.0,honda,fit,2014,hatchback,yes,petrol,1.3,91901,4,automatic,front,04-may,left wheel,silver,4,False
45802912,39493,891.0,hyundai,santa fe,2016,jeep,yes,diesel,2.0,160931,4,automatic,front,04-may,left wheel,white,4,False
45656768,1803,761.0,toyota,prius,2010,hatchback,yes,hybrid,1.8,258909,4,automatic,front,04-may,left wheel,white,12,False
45816158,549,751.0,hyundai,sonata,2013,sedan,yes,petrol,2.4,216118,4,automatic,front,04-may,left wheel,grey,12,False
45641395,1098,394.0,toyota,camry,2014,sedan,yes,hybrid,2.5,398069,4,automatic,front,04-may,left wheel,black,12,False
45756839,26657,0.0,lexus,rx 350,2007,jeep,yes,petrol,3.5,128500,6,automatic,4x4,04-may,left wheel,silver,12,False
45621750,941,1053.0,mercedes-benz,e 350,2014,sedan,yes,diesel,3.5,184467,6,automatic,rear,04-may,left wheel,white,12,False
45814819,8781,0.0,ford,transit,1999,microbus,no,cng,4.0,0,8,manual,rear,02-mar,left wheel,blue,0,False
45815568,3000,0.0,opel,vectra,1997,goods wagon,no,cng,1.6,350000,4,manual,front,04-may,left wheel,white,4,False
45661288,1019,1055.0,lexus,rx 450,2013,jeep,yes,hybrid,3.5,138038,6,automatic,front,04-may,left wheel,white,12,False
45732604,59464,891.0,hyundai,santa fe,2016,jeep,yes,diesel,2.0,76000,4,automatic,front,04-may,left wheel,white,4,False
45465200,549,1079.0,toyota,chr,2018,jeep,yes,petrol,2.0,74146,4,automatic,front,04-may,left wheel,white,12,False
45772281,7683,810.0,hyundai,elantra,2016,sedan,yes,petrol,1.8,121840,4,automatic,front,04-may,left wheel,blue,12,False
45797221,28382,810.0,hyundai,elantra,2016,sedan,yes,petrol,1.8,54317,4,automatic,front,04-may,left wheel,white,4,False
45772104,549,2386.0,hyundai,sonata,2006,sedan,yes,petrol,3.3,295059,6,automatic,rear,04-may,left wheel,blue,12,False
45653306,941,1850.0,lexus,rx 400,2008,jeep,yes,hybrid,3.5,364523,6,automatic,4x4,04-may,left wheel,black,12,False
45801686,18826,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,112645,4,automatic,front,04-may,left wheel,silver,4,False
45168471,20698,586.0,toyota,prius,2012,sedan,yes,plug-in hybrid,1.8,187000,4,automatic,front,04-may,left wheel,white,12,False
